Date,Symbol,Timeframe,Type,Pattern,BRS_Score,Entry,SL,Target,Close,Volume,DeliveryQty,DeliveryPct,DelivSpikeRatio,Daily_RSI
27-07-2026,INDIANB,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,838.6,826.1,876.1,831.25,936950,461936,49.3,,49.76
27-07-2026,INDIGO,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,5242.5,5095.0,5685.0,5230.0,1731299,690307,39.87,,54.42
27-07-2026,INDUSINDBK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1015.6,1000.1,1062.1,1006.65,1979222,1004700,50.76,,53.59
27-07-2026,INDUSTOWER,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,397.25,382.5,441.5,387.4,3923875,1955127,49.83,,38.19
27-07-2026,INFY,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1082.0,1057.4,1155.8,1079.2,15956349,8371338,52.46,,48.2
27-07-2026,INOXWIND,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,78.5,77.21,82.37,78.23,7107792,1898710,26.71,,36.01
27-07-2026,IOC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,142.0,139.91,148.27,141.52,8260417,4519199,54.71,,50.93
27-07-2026,IREDA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,121.83,119.56,128.64,120.29,4198411,1447260,34.47,,39.62
27-07-2026,IRFC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,88.53,88.0,90.12,88.13,5143354,1899961,36.94,,37.41
27-07-2026,ITC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,287.9,285.5,295.1,285.85,19312804,12277445,63.57,,51.82
27-07-2026,JINDALSTEL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1068.2,1036.0,1164.8,1065.7,2617855,1368212,52.26,,50.07
27-07-2026,JIOFIN,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,237.4,235.26,243.82,236.17,6984152,3140188,44.96,,47.63
27-07-2026,JSWENERGY,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,556.9,547.45,585.25,549.7,1125093,509496,45.28,,44.73
27-07-2026,JSWSTEEL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1251.0,1234.3,1301.1,1244.6,1128386,646140,57.26,,48.52
27-07-2026,JUBLFOOD,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,428.4,420.45,452.25,427.45,1229160,446895,36.36,,50.47
27-07-2026,KALYANKJIL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,585.55,562.45,654.85,564.6,16629166,2825753,16.99,,71.38
27-07-2026,KAYNES,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,3224.9,3173.0,3380.6,3181.3,614724,163120,26.54,,42.48
27-07-2026,KFINTECH,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,955.3,862.0,1235.2,949.25,10620157,1949521,18.36,,62.44
27-07-2026,KOTAKBANK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,388.75,383.55,404.35,384.65,16710096,12419233,74.32,,48.99
27-07-2026,KPITTECH,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,594.1,580.7,634.3,585.2,5068869,1130942,22.31,,42.02
27-07-2026,LAURUSLABS,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1734.5,1617.1,2086.7,1713.4,7989771,2480358,31.04,,75.67
27-07-2026,LICHSGFIN,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,553.5,541.1,590.7,551.75,763125,377005,49.4,,52.75
27-07-2026,LICI,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,427.35,422.1,443.1,424.35,1064234,437849,41.14,,34.83
27-07-2026,LODHA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1207.0,1150.1,1377.7,1198.7,4971286,1140247,22.94,,66.93
27-07-2026,LT,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,3837.3,3798.7,3953.1,3806.0,1454211,795426,54.7,,36.44
27-07-2026,LTF,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,312.85,305.0,336.4,312.25,5922451,2028526,34.25,,54.95
27-07-2026,LTM,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,4215.0,4115.0,4515.0,4190.8,468632,183821,39.23,,60.5
